LAD_CODE,RESULT
E07000067,"[
  {
    ""latitude"": 51.9748,
    ""longitude"": 0.2632,
    ""name"": ""Uttlesford""
  },
  {
    ""latitude"": 52.0254,
    ""longitude"": 0.241,
    ""name"": ""Saffron Walden""
  },
  {
    ""latitude"": 51.8721,
    ""longitude"": 0.3654,
    ""name"": ""Great Dunmow""
  },
  {
    ""latitude"": 51.9021,
    ""longitude"": 0.2008,
    ""name"": ""Stansted Mountfitchet""
  },
  {
    ""latitude"": 51.9563,
    ""longitude"": 0.3434,
    ""name"": ""Thaxted""
  },
  {
    ""latitude"": 51.9798,
    ""longitude"": 0.2136,
    ""name"": ""Newport""
  },
  {
    ""latitude"": 51.9125,
    ""longitude"": 0.2261,
    ""name"": ""Elsenham""
  },
  {
    ""latitude"": 51.8726,
    ""longitude"": 0.2654,
    ""name"": ""Takeley""
  },
  {
    ""latitude"": 51.8309,
    ""longitude"": 0.4153,
    ""name"": ""Felsted""
  },
  {
    ""latitude"": 51.8167,
    ""longitude"": 0.1833,
    ""name"": ""Hatfield Heath""
  }
]"
E07000068,"[
  {
    ""latitude"": 51.6137,
    ""longitude"": 0.3031,
    ""name"": ""Brentwood""
  },
  {
    ""latitude"": 51.6306,
    ""longitude"": 0.3307,
    ""name"": ""Shenfield""
  },
  {
    ""latitude"": 51.6667,
    ""longitude"": 0.3858,
    ""name"": ""Ingatestone""
  },
  {
    ""latitude"": 51.6167,
    ""longitude"": 0.3167,
    ""name"": ""Hutton""
  },
  {
    ""latitude"": 51.6333,
    ""longitude"": 0.2833,
    ""name"": ""Pilgrims Hatch""
  },
  {
    ""latitude"": 51.6,
    ""longitude"": 0.2833,
    ""name"": ""Warley""
  },
  {
    ""latitude"": 51.6667,
    ""longitude"": 0.3167,
    ""name"": ""Doddinghurst""
  },
  {
    ""latitude"": 51.7,
    ""longitude"": 0.3,
    ""name"": ""Blackmore""
  },
  {
    ""latitude"": 51.5667,
    ""longitude"": 0.3333,
    ""name"": ""West Horndon""
  },
  {
    ""latitude"": 51.6833,
    ""longitude"": 0.2833,
    ""name"": ""Kelvedon Hatch""
  }
]"
E07000069,"[
  {
    ""latitude"": 51.5519,
    ""longitude"": 0.5977,
    ""name"": ""Castle Point""
  },
  {
    ""latitude"": 51.5167,
    ""longitude"": 0.5833,
    ""name"": ""Canvey Island""
  },
  {
    ""latitude"": 51.5542,
    ""longitude"": 0.5569,
    ""name"": ""Benfleet""
  },
  {
    ""latitude"": 51.5536,
    ""longitude"": 0.6069,
    ""name"": ""Hadleigh""
  },
  {
    ""latitude"": 51.5667,
    ""longitude"": 0.5833,
    ""name"": ""Thundersley""
  },
  {
    ""latitude"": 51.55,
    ""longitude"": 0.5667,
    ""name"": ""South Benfleet""
  },
  {
    ""latitude"": 51.5667,
    ""longitude"": 0.6167,
    ""name"": ""Daws Heath""
  },
  {
    ""latitude"": 51.5083,
    ""longitude"": 0.5917,
    ""name"": ""Leigh Beck""
  },
  {
    ""latitude"": 51.5083,
    ""longitude"": 0.575,
    ""name"": ""Winter Gardens""
  },
  {
    ""latitude"": 51.5583,
    ""longitude"": 0.55,
    ""name"": ""Tarpots""
  }
]"
E07000070,"[
  {
    ""latitude"": 51.7357,
    ""longitude"": 0.4735,
    ""name"": ""Chelmsford""
  },
  {
    ""latitude"": 51.6433,
    ""longitude"": 0.6014,
    ""name"": ""South Woodham Ferrers""
  },
  {
    ""latitude"": 51.7167,
    ""longitude"": 0.4872,
    ""name"": ""Great Baddow""
  },
  {
    ""latitude"": 51.7333,
    ""longitude"": 0.4278,
    ""name"": ""Writtle""
  },
  {
    ""latitude"": 51.7167,
    ""longitude"": 0.5833,
    ""name"": ""Danbury""
  },
  {
    ""latitude"": 51.75,
    ""longitude"": 0.4667,
    ""name"": ""Broomfield""
  },
  {
    ""latitude"": 51.7417,
    ""longitude"": 0.4917,
    ""name"": ""Springfield""
  },
  {
    ""latitude"": 51.7,
    ""longitude"": 0.475,
    ""name"": ""Galleywood""
  },
  {
    ""latitude"": 51.6667,
    ""longitude"": 0.5667,
    ""name"": ""Bicknacre""
  },
  {
    ""latitude"": 51.6833,
    ""longitude"": 0.4333,
    ""name"": ""Stock""
  }
]"
E07000071,"[
  {
    ""latitude"": 51.8959,
    ""longitude"": 0.9033,
    ""name"": ""Colchester""
  },
  {
    ""latitude"": 51.8092,
    ""longitude"": 0.7471,
    ""name"": ""Tiptree""
  },
  {
    ""latitude"": 51.7792,
    ""longitude"": 0.9167,
    ""name"": ""West Mersea""
  },
  {
    ""latitude"": 51.8531,
    ""longitude"": 0.9681,
    ""name"": ""Wivenhoe""
  },
  {
    ""latitude"": 51.8833,
    ""longitude"": 0.8333,
    ""name"": ""Stanway""
  },
  {
    ""latitude"": 51.8667,
    ""longitude"": 0.7833,
    ""name"": ""Marks Tey""
  },
  {
    ""latitude"": 51.9333,
    ""longitude"": 0.8667,
    ""name"": ""Great Horkesley""
  },
  {
    ""latitude"": 51.9583,
    ""longitude"": 0.9917,
    ""name"": ""Dedham""
  },
  {
    ""latitude"": 51.85,
    ""longitude"": 0.95,
    ""name"": ""Rowhedge""
  },
  {
    ""latitude"": 51.8333,
    ""longitude"": 0.8333,
    ""name"": ""Layer-de-la-Haye""
  }
]"
E07000072,"[
  {
    ""latitude"": 51.6993,
    ""longitude"": 0.1104,
    ""name"": ""Epping""
  },
  {
    ""latitude"": 51.6486,
    ""longitude"": 0.0583,
    ""name"": ""Loughton""
  },
  {
    ""latitude"": 51.6867,
    ""longitude"": -0.0035,
    ""name"": ""Waltham Abbey""
  },
  {
    ""latitude"": 51.625,
    ""longitude"": 0.075,
    ""name"": ""Chigwell""
  },
  {
    ""latitude"": 51.7031,
    ""longitude"": 0.2442,
    ""name"": ""Ongar""
  },
  {
    ""latitude"": 51.6264,
    ""longitude"": 0.0464,
    ""name"": ""Buckhurst Hill""
  },
  {
    ""latitude"": 51.7236,
    ""longitude"": 0.1708,
    ""name"": ""North Weald Bassett""
  },
  {
    ""latitude"": 51.6722,
    ""longitude"": 0.1031,
    ""name"": ""Theydon Bois""
  },
  {
    ""latitude"": 51.7042,
    ""longitude"": 0.2431,
    ""name"": ""Chipping Ongar""
  },
  {
    ""latitude"": 51.7333,
    ""longitude"": 0.0333,
    ""name"": ""Nazeing""
  }
]"
E07000073,"[
  {
    ""latitude"": 51.7667,
    ""longitude"": 0.1333,
    ""name"": ""Harlow""
  },
  {
    ""latitude"": 51.7833,
    ""longitude"": 0.15,
    ""name"": ""Old Harlow""
  },
  {
    ""latitude"": 51.7667,
    ""longitude"": 0.1583,
    ""name"": ""Church Langley""
  },
  {
    ""latitude"": 51.75,
    ""longitude"": 0.1167,
    ""name"": ""Potter Street""
  },
  {
    ""latitude"": 51.775,
    ""longitude"": 0.1417,
    ""name"": ""Newhall""
  },
  {
    ""latitude"": 51.7583,
    ""longitude"": 0.125,
    ""name"": ""Staple Tye""
  },
  {
    ""latitude"": 51.7583,
    ""longitude"": 0.1333,
    ""name"": ""Bush Fair""
  },
  {
    ""latitude"": 51.7667,
    ""longitude"": 0.1417,
    ""name"": ""The Stow""
  },
  {
    ""latitude"": 51.775,
    ""longitude"": 0.125,
    ""name"": ""Mark Hall""
  },
  {
    ""latitude"": 51.7667,
    ""longitude"": 0.1167,
    ""name"": ""Latton Bush""
  }
]"
E07000074,"[
  {
    ""latitude"": 51.7361,
    ""longitude"": 0.4735,
    ""name"": ""Chelmsford""
  },
  {
    ""latitude"": 51.6433,
    ""longitude"": 0.6014,
    ""name"": ""South Woodham Ferrers""
  },
  {
    ""latitude"": 51.7139,
    ""longitude"": 0.5847,
    ""name"": ""Danbury""
  },
  {
    ""latitude"": 51.7167,
    ""longitude"": 0.4917,
    ""name"": ""Great Baddow""
  },
  {
    ""latitude"": 51.7333,
    ""longitude"": 0.4278,
    ""name"": ""Writtle""
  },
  {
    ""latitude"": 51.6833,
    ""longitude"": 0.5667,
    ""name"": ""Bicknacre""
  },
  {
    ""latitude"": 51.6833,
    ""longitude"": 0.4833,
    ""name"": ""Stock""
  },
  {
    ""latitude"": 51.7,
    ""longitude"": 0.4667,
    ""name"": ""Galleywood""
  },
  {
    ""latitude"": 51.8,
    ""longitude"": 0.5,
    ""name"": ""Great Leighs""
  },
  {
    ""latitude"": 51.75,
    ""longitude"": 0.5333,
    ""name"": ""Boreham""
  }
]"
E07000075,"[
  {
    ""latitude"": 51.0632,
    ""longitude"": -0.3271,
    ""name"": ""Horsham""
  },
  {
    ""latitude"": 51.0217,
    ""longitude"": -0.4518,
    ""name"": ""Billingshurst""
  },
  {
    ""latitude"": 51.0167,
    ""longitude"": -0.35,
    ""name"": ""Southwater""
  },
  {
    ""latitude"": 50.9167,
    ""longitude"": -0.45,
    ""name"": ""Storrington""
  },
  {
    ""latitude"": 50.9333,
    ""longitude"": -0.275,
    ""name"": ""Henfield""
  },
  {
    ""latitude"": 50.9583,
    ""longitude"": -0.5167,
    ""name"": ""Pulborough""
  },
  {
    ""latitude"": 50.8892,
    ""longitude"": -0.3278,
    ""name"": ""Steyning""
  },
  {
    ""latitude"": 50.9333,
    ""longitude"": -0.4667,
    ""name"": ""West Chiltington""
  },
  {
    ""latitude"": 50.9667,
    ""longitude"": -0.2833,
    ""name"": ""Cowfold""
  },
  {
    ""latitude"": 50.9,
    ""longitude"": -0.3833,
    ""name"": ""Ashington""
  }
]"
E07000076,"[
  {
    ""latitude"": 51.7361,
    ""longitude"": 0.4724,
    ""name"": ""Chelmsford""
  },
  {
    ""latitude"": 51.6433,
    ""longitude"": 0.6014,
    ""name"": ""South Woodham Ferrers""
  },
  {
    ""latitude"": 51.7167,
    ""longitude"": 0.4872,
    ""name"": ""Great Baddow""
  },
  {
    ""latitude"": 51.7333,
    ""longitude"": 0.4278,
    ""name"": ""Writtle""
  },
  {
    ""latitude"": 51.7167,
    ""longitude"": 0.5833,
    ""name"": ""Danbury""
  },
  {
    ""latitude"": 51.75,
    ""longitude"": 0.4667,
    ""name"": ""Broomfield""
  },
  {
    ""latitude"": 51.7,
    ""longitude"": 0.4667,
    ""name"": ""Galleywood""
  },
  {
    ""latitude"": 51.7417,
    ""longitude"": 0.4917,
    ""name"": ""Springfield""
  },
  {
    ""latitude"": 51.6667,
    ""longitude"": 0.5667,
    ""name"": ""Bicknacre""
  },
  {
    ""latitude"": 51.6833,
    ""longitude"": 0.4833,
    ""name"": ""Stock""
  }
]"
